---,Name,Desc,Type,InputType,Range,Size,Direction,MinDamage,MaxDamage,Requirement,Cooldown,Thumbnail
1001000,"Basic Attack","Basic Attack","Active","Combo","200","200","Forward","5","10","()","0","/Game/99-Assets/UI/Icon/Skill/Blader/skill_icon_blader_Basic.skill_icon_blader_Basic"
1001001,"Chain Slash","Chain Slash","Active","Combo","200","200","Forward","25","40","((Mp, 5))","7","/Game/99-Assets/UI/Icon/Skill/Blader/skill_icon_blader_ChainSlash.skill_icon_blader_ChainSlash"
1001002,"Rush Slash","Rush Slash","Active","Normal","500","200","Forward","15","25","((Mp, 5))","7","/Game/99-Assets/UI/Icon/Skill/Blader/skill_icon_blader_RushSlash.skill_icon_blader_RushSlash"
1001003,"Energy Cycle","Energy Cycle","Passive","Normal","0","0","AllDirection","5","10","()","0","/Game/99-Assets/UI/Icon/Skill/Blader/skill_icon_blader_EnergyCycle.skill_icon_blader_EnergyCycle"
1001004,"Sword Dance","Sword Dance","Active","Normal","200","500","AllDirection","15","15","((Mp, 10))","0","/Game/99-Assets/UI/Icon/Skill/Blader/skill_icon_blader_SwordDance.skill_icon_blader_SwordDance"
1001005,"Flash Strike","Flash Strike","Active","Charging","500","200","Forward","50","70","((Mp, 15))","0","/Game/99-Assets/UI/Icon/Skill/Blader/skill_icon_blader_FlashStrike.skill_icon_blader_FlashStrike"
1001006,"Ether Blade","Ether Blade","Active","Normal","0","0","AllDirection","0","0","((Mp, 20))","0","/Game/99-Assets/UI/Icon/Skill/Blader/skill_icon_blader_EtherBlade.skill_icon_blader_EtherBlade"
1001007,"Dance Of Moon Shadow","Dance Of Moon Shadow","Active","Casting","300","300","AllDirection","25","40","((Mp, 25))","20","/Game/99-Assets/UI/Icon/Skill/Blader/skill_icon_blader_DanceOfMoonShadow.skill_icon_blader_DanceOfMoonShadow"
1001008,"Breath Of Full Moon","Breath Of Full Moon","Passive","Normal","0","0","AllDirection","0","0","()","0","/Game/99-Assets/UI/Icon/Skill/Blader/skill_icon_blader_BreathOfFullMoon.skill_icon_blader_BreathOfFullMoon"
2001000,"None","","Active","Normal","0","0","Forward","0","0","()","0","None"
